,Date,Open,High,Low,Close,Adj Close,Volume
5143,2001-04-20,0.445179,0.457679,0.439286,0.447143,0.383365,693403200
994,1984-11-15,0.106027,0.107143,0.106027,0.106027,0.082984,106601600
5393,2002-04-24,0.433929,0.4375,0.422857,0.424464,0.363921,140448000
5636,2003-04-10,0.253571,0.256964,0.253571,0.256607,0.220006,107100000
1213,1985-10-01,0.070313,0.070871,0.070313,0.070313,0.055031,88345600
295,1982-02-12,0.083705,0.084263,0.083705,0.083705,0.065513,19644800
7350,2010-02-01,6.870357,7.0,6.832143,6.954643,5.962668,749876400
7331,2010-01-04,7.6225,7.660714,7.585,7.643214,6.553025,493729600
7183,2009-06-03,5.0,5.039643,4.966786,5.033929,4.315915,565199600
363,1982-05-21,0.063616,0.064174,0.063616,0.063616,0.04979,38841600
5582,2003-01-23,0.250893,0.256429,0.249107,0.253036,0.216944,228256000
9162,2017-04-12,35.400002,35.537498,35.252499,35.450001,33.513103,81400000
4743,1999-09-20,0.6875,0.715402,0.686384,0.705915,0.605227,456668800
6737,2007-08-24,4.661786,4.834643,4.636071,4.832143,4.142912,911834000
9271,2017-09-18,40.0275,40.125,39.5,39.6675,37.802834,113077600
3050,1993-01-06,0.542411,0.553571,0.540179,0.551339,0.455262,281400000
10161,2021-04-01,123.660004,124.18,122.489998,123.0,122.429047,75089100
8135,2013-03-15,15.640357,15.865357,15.616071,15.845,13.785472,643960800
9032,2016-10-05,28.35,28.415001,28.172501,28.262501,26.467089,85812400
6325,2006-01-04,2.683214,2.713571,2.660714,2.6775,2.295595,619603600
5628,2003-03-31,0.255893,0.259464,0.250714,0.2525,0.216485,256659200
5396,2002-04-29,0.413571,0.429643,0.412321,0.427857,0.36683,272288800
9665,2019-04-12,49.799999,50.035,49.052502,49.717499,48.471626,111042800
4430,1998-06-23,0.244978,0.251116,0.243304,0.248326,0.212906,231056000
2992,1992-10-13,0.399554,0.410714,0.392857,0.405134,0.333825,147179200
1482,1986-10-23,0.145089,0.147879,0.145089,0.147879,0.11574,123132800
9394,2018-03-15,44.625,45.060001,44.517502,44.662498,42.890194,90975200
9010,2016-09-02,26.924999,27.0,26.705,26.932501,25.221581,107210000
5448,2002-07-12,0.33125,0.335536,0.308214,0.312679,0.26808,443492000
6665,2007-05-14,3.915,3.928571,3.866071,3.905714,3.348623,651946400
1890,1988-06-06,0.381696,0.392857,0.381696,0.392857,0.310236,164640000
9296,2017-10-23,39.2225,39.422501,38.875,39.0425,37.207214,87937200
4275,1997-11-07,0.168527,0.178571,0.167411,0.176339,0.151187,795614400
8888,2016-03-11,25.559999,25.57,25.375,25.565001,23.667854,109632800
3420,1994-06-23,0.234375,0.234375,0.222098,0.22433,0.188937,203896000
2636,1991-05-17,0.435268,0.435268,0.415179,0.419643,0.34105,471060800
1360,1986-05-01,0.135045,0.135045,0.132813,0.135045,0.105695,257936000
6088,2005-01-26,1.2975,1.299107,1.271786,1.290179,1.106154,739496800
2368,1990-04-26,0.348214,0.352679,0.340402,0.347098,0.278942,142161600
8293,2013-10-29,19.1525,19.258928,18.376429,18.452856,16.267334,635807200
1603,1987-04-16,0.31808,0.327009,0.316964,0.319196,0.249824,347200000
10197,2021-05-24,126.010002,127.940002,125.940002,127.099998,126.724899,63092900
3437,1994-07-19,0.25558,0.256696,0.24442,0.24721,0.208207,116368000
4967,2000-08-08,0.856027,0.857143,0.827009,0.834821,0.715747,176674400
8898,2016-03-28,26.5,26.547501,26.264999,26.297501,24.346001,77645600
2129,1989-05-16,0.410714,0.412946,0.401786,0.405134,0.322266,228670400
7824,2011-12-15,13.690357,13.705,13.511071,13.533571,11.603212,256200000
6016,2004-10-13,0.694107,0.71,0.691786,0.709821,0.608576,1163008000
5512,2002-10-11,0.254464,0.263929,0.251786,0.259107,0.222149,294677600
6372,2006-03-14,2.348929,2.404286,2.339286,2.404286,2.061351,642020400
4283,1997-11-19,0.159598,0.163504,0.159598,0.162946,0.139704,79587200
1466,1986-10-01,0.148996,0.154018,0.148996,0.152344,0.119234,138588800
2068,1989-02-16,0.323661,0.332589,0.321429,0.324777,0.257635,255696000
1124,1985-05-23,0.091518,0.091518,0.08817,0.08817,0.069008,239164800
669,1983-08-05,0.148438,0.154018,0.147321,0.151228,0.118361,131420800
4206,1997-08-01,0.157366,0.171317,0.156808,0.171317,0.146881,481913600
7817,2011-12-06,14.018214,14.093929,13.906429,13.9625,11.970959,283598000
1708,1987-09-16,0.462054,0.469866,0.457589,0.462054,0.362652,168000000
2323,1990-02-21,0.292411,0.305804,0.290179,0.303571,0.243961,175907200
2883,1992-05-08,0.549107,0.561384,0.544643,0.553571,0.453999,198699200
10170,2021-04-15,133.820007,135.0,133.639999,134.5,133.875671,89347100
8964,2016-06-29,23.4925,23.637501,23.407499,23.6,21.981701,146124000
6915,2008-05-09,6.541429,6.580357,6.4775,6.551786,5.617274,673072400
7984,2012-08-06,22.04607,22.316786,21.973572,22.233929,19.062599,302103200
8398,2014-04-01,19.205713,19.352501,19.170357,19.344643,17.255735,200760000
1106,1985-04-29,0.097656,0.098214,0.094308,0.094308,0.073812,62204800
