,Date,Open,High,Low,Close,Adj Close,Volume
787,2018-08-23,63.827999,65.463997,63.619999,64.019997,64.019997,25736500
285,2016-08-25,44.622002,44.759998,44.153999,44.192001,44.192001,8812500
694,2018-04-12,60.464001,60.790001,58.736,58.816002,58.816002,38044000
419,2017-03-09,49.526001,49.731998,48.599998,48.98,48.98,19396500
552,2017-09-18,76.050003,77.921997,75.536003,77.0,77.0,35940000
921,2019-03-08,55.382,57.118,55.178001,56.827999,56.827999,44098000
931,2019-03-22,54.515999,54.560001,52.799999,52.905998,52.905998,43728000
761,2018-07-18,65.0,65.099998,63.25,64.769997,64.769997,28121000
242,2016-06-24,38.009998,39.023998,37.945999,38.630001,38.630001,35132500
803,2018-09-17,58.007999,60.174,57.625999,58.967999,58.967999,34438000
422,2017-03-14,49.222,51.624001,49.203999,51.599998,51.599998,37992000
698,2018-04-18,58.216,60.048,57.632,58.669998,58.669998,32788500
107,2015-12-10,44.942001,45.698002,44.728001,45.414001,45.414001,10358500
1237,2020-06-09,188.001999,190.888,184.785995,188.134003,188.134003,56941000
484,2017-06-12,71.598,72.900002,70.124001,71.802002,71.802002,52588500
556,2017-09-22,73.297997,73.980003,70.176003,70.218002,70.218002,40797000
496,2017-06-28,73.335999,74.348,72.503998,74.248001,74.248001,31512500
503,2017-07-10,62.580002,63.588001,60.625999,63.209999,63.209999,69104500
1131,2020-01-07,92.279999,94.325996,90.671997,93.811996,93.811996,89410500
144,2016-02-04,34.139999,35.195999,33.397999,35.066002,35.066002,21927000
946,2019-04-12,54.043999,54.389999,53.366001,53.540001,53.540001,33730000
189,2016-04-11,50.200001,51.798,49.060001,49.984001,49.984001,45808500
341,2016-11-14,37.599998,37.650002,35.638,36.290001,36.290001,32761000
574,2017-10-18,71.194,72.599998,70.825996,71.93,71.93,24695500
1051,2019-09-12,49.540001,50.700001,48.880001,49.174,49.174,42906000
315,2016-10-07,40.200001,40.264,39.16,39.321999,39.321999,17465000
405,2017-02-16,55.52,56.0,53.700001,53.790001,53.790001,35386500
783,2018-08-17,64.699997,65.353996,60.706001,61.099998,61.099998,94793000
1246,2020-06-22,199.990005,201.776001,198.003998,198.863998,198.863998,31812000
639,2018-01-23,72.0,72.099998,70.199997,70.557999,70.557999,27327000
162,2016-03-02,36.745998,37.703999,36.299999,37.667999,37.667999,24312000
493,2017-06-23,76.489998,77.398003,75.870003,76.690002,76.690002,32229000
123,2016-01-05,45.271999,45.377998,44.0,44.686001,44.686001,15934000
643,2018-01-29,67.970001,70.169998,67.655998,69.905998,69.905998,23735500
148,2016-02-10,30.1,30.993999,28.348,28.733999,28.733999,52032500
377,2017-01-06,45.386002,46.062,45.09,45.801998,45.801998,27639500
773,2018-08-03,69.561996,71.0,68.505997,69.634003,69.634003,68282500
923,2019-03-12,57.298,57.613998,56.212002,56.672001,56.672001,37520500
